Caminhos Mais Curtos:
AC -> AC: 0
AC -> 2000.0: 1
AC -> 2001.0: 1
AC -> 2002.0: 1
AC -> 2003.0: 1
AC -> 2004.0: 1
AC -> 2005.0: 1
AC -> 2006.0: 1
AC -> 2007.0: 1
AC -> 2008.0: 1
AC -> 2009.0: 1
AC -> 2010.0: 1
AC -> 2011.0: 1
AC -> 2012.0: 1
AC -> 2013.0: 1
AC -> 2014.0: 1
AC -> 2015.0: 1
AC -> 2016.0: 1
AC -> 2017.0: 1
AC -> 2018.0: 1
AC -> 2019.0: 1
AC -> 2020.0: 1
AC -> 2021.0: 1
AC -> 2022.0: 1
AC -> 2023.0: 1
AC -> 2024.0: 1
AC -> PA: 2
AC -> PI: 2
AC -> RR: 2
AC -> TO: 2
AC -> RJ: 2
AC -> RO: 2
AC -> RS: 2
AC -> MS: 2
AC -> PB: 2
AC -> AP: 2
AC -> DF: 2
AC -> BA: 2
AC -> PE: 2
AC -> RN: 2
AC -> ES: 2
AC -> AL: 2
AC -> MA: 2
AC -> MT: 2
AC -> PR: 2
AC -> GO: 2
AC -> SC: 2
AC -> SP: 2
AC -> AM: 2
AC -> SE: 2
AC -> MG: 2
AC -> CE: 2
2000.0 -> 2000.0: 0
2000.0 -> PA: 1
2000.0 -> PI: 1
2000.0 -> RR: 1
2000.0 -> AC: 1
2000.0 -> TO: 1
2000.0 -> RJ: 1
2000.0 -> RO: 1
2000.0 -> RS: 1
2000.0 -> MS: 1
2000.0 -> PB: 1
2000.0 -> AP: 1
2000.0 -> DF: 1
2000.0 -> BA: 1
2000.0 -> PE: 1
2000.0 -> RN: 1
2000.0 -> ES: 1
2000.0 -> AL: 1
2000.0 -> MA: 1
2000.0 -> MT: 1
2000.0 -> PR: 1
2000.0 -> GO: 1
2000.0 -> SC: 1
2000.0 -> SP: 1
2000.0 -> AM: 1
2000.0 -> SE: 1
2000.0 -> MG: 1
2000.0 -> CE: 1
2000.0 -> 2001.0: 2
2000.0 -> 2002.0: 2
2000.0 -> 2003.0: 2
2000.0 -> 2004.0: 2
2000.0 -> 2005.0: 2
2000.0 -> 2006.0: 2
2000.0 -> 2007.0: 2
2000.0 -> 2008.0: 2
2000.0 -> 2009.0: 2
2000.0 -> 2010.0: 2
2000.0 -> 2011.0: 2
2000.0 -> 2012.0: 2
2000.0 -> 2013.0: 2
2000.0 -> 2014.0: 2
2000.0 -> 2015.0: 2
2000.0 -> 2016.0: 2
2000.0 -> 2017.0: 2
2000.0 -> 2018.0: 2
2000.0 -> 2019.0: 2
2000.0 -> 2020.0: 2
2000.0 -> 2021.0: 2
2000.0 -> 2022.0: 2
2000.0 -> 2023.0: 2
2000.0 -> 2024.0: 2
AL -> AL: 0
AL -> 2000.0: 1
AL -> 2001.0: 1
AL -> 2002.0: 1
AL -> 2003.0: 1
AL -> 2004.0: 1
AL -> 2005.0: 1
AL -> 2006.0: 1
AL -> 2007.0: 1
AL -> 2008.0: 1
AL -> 2009.0: 1
AL -> 2010.0: 1
AL -> 2011.0: 1
AL -> 2012.0: 1
AL -> 2013.0: 1
AL -> 2014.0: 1
AL -> 2015.0: 1
AL -> 2016.0: 1
AL -> 2017.0: 1
AL -> 2018.0: 1
AL -> 2019.0: 1
AL -> 2020.0: 1
AL -> 2021.0: 1
AL -> 2022.0: 1
AL -> 2023.0: 1
AL -> 2024.0: 1
AL -> PA: 2
AL -> PI: 2
AL -> RR: 2
AL -> AC: 2
AL -> TO: 2
AL -> RJ: 2
AL -> RO: 2
AL -> RS: 2
AL -> MS: 2
AL -> PB: 2
AL -> AP: 2
AL -> DF: 2
AL -> BA: 2
AL -> PE: 2
AL -> RN: 2
AL -> ES: 2
AL -> MA: 2
AL -> MT: 2
AL -> PR: 2
AL -> GO: 2
AL -> SC: 2
